id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
77,Ocean Floor,Paper Lanterns,ambient,focused,0.26,59,0.51,0.32,0.94
78,Club Soda,Max Pulse,edm,happy,0.88,132,0.82,0.89,0.06
79,Porch Swing,Indigo Parade,folk,relaxed,0.35,94,0.74,0.49,0.89
80,Retrowave,Neon Echo,synthwave,happy,0.77,114,0.73,0.77,0.18
81,Vinyl Dreams,Slow Stereo,jazz,relaxed,0.36,87,0.69,0.51,0.90
82,Gravel Road,Voltline,rock,moody,0.78,140,0.40,0.56,0.16
83,Pillow Fort,LoRoom,lofi,chill,0.37,74,0.62,0.58,0.79
84,Solar Flare,Max Pulse,pop,intense,0.92,133,0.75,0.87,0.07
85,Meadow Walk,Indigo Parade,folk,happy,0.55,105,0.77,0.60,0.70
86,Data Stream,Orbit Bloom,ambient,focused,0.28,55,0.49,0.30,0.96
87,Concrete Jungle,Voltline,rock,intense,0.91,154,0.47,0.64,0.10
88,Cherry Blossom,Paper Lanterns,folk,chill,0.31,69,0.68,0.43,0.89
89,Overdrive,Max Pulse,edm,intense,0.97,152,0.63,0.91,0.03
90,Sunset Strip,Neon Echo,synthwave,moody,0.71,107,0.54,0.69,0.26
91,Hot Cocoa,LoRoom,lofi,relaxed,0.34,72,0.65,0.54,0.84
92,Kaleidoscope,Indigo Parade,indie pop,happy,0.73,119,0.82,0.77,0.37
93,Basement Show,Voltline,rock,intense,0.87,144,0.50,0.62,0.14
94,Frost,Orbit Bloom,ambient,chill,0.22,51,0.54,0.29,0.97
95,Jukebox,Slow Stereo,jazz,happy,0.45,96,0.76,0.58,0.80
96,Voltage,Max Pulse,edm,intense,0.94,142,0.66,0.88,0.04
97,Treehouse,Paper Lanterns,folk,relaxed,0.30,67,0.71,0.41,0.92
98,Infinity Loop,Neon Echo,synthwave,focused,0.65,102,0.56,0.66,0.30
99,Starlight Cafe,Slow Stereo,jazz,chill,0.34,81,0.63,0.50,0.89
100,Voltage Dreams,Indigo Parade,indie pop,moody,0.62,109,0.50,0.64,0.48
